StateCounty,Unknown,No,Yes
FLBroward County,0.00000000000000000,-0.04100052217908840,0.21329901577044700
FLCalhoun County,0.00000000000000000,-0.04789879604619040,0.23895626790680300
FLCharlotte County,0.00000000000000000,-0.04492095337400560,0.22718174023758200
FLCitrus County,0.00000000000000000,-0.04522215875462520,0.23055359870692000
FLClay County,0.00000000000000000,-0.04354001812772150,0.22156199964380500
FLCollier County,0.00000000000000000,-0.04401785709200050,0.22425029069732800
FLColumbia County,0.00000000000000000,-0.04723676489035500,0.23723889786259200
FLDesoto County,0.00000000000000000,-0.04544202133516890,0.23098299067399100
FLDixie County,0.00000000000000000,-0.04728131754795180,0.23614306060588700
FLDuval County,0.00000000000000000,-0.04241637224393290,0.21696736063089300
FLEscambia County,0.00000000000000000,-0.04305201595489890,0.21537831465073900
FLFlagler County,0.00000000000000000,-0.04430602559279300,0.22120860836896800
FLFranklin County,0.00000000000000000,-0.04742604464351420,0.23305626108315600
FLGadsden County,0.00000000000000000,-0.04738851943798350,0.23452973476015500
FLGilchrist County,0.00000000000000000,-0.04690964922881170,0.23676007401709400
FLGlades County,0.00000000000000000,-0.04525710660421960,0.22644544876762900
FLGulf County,0.00000000000000000,-0.04727205782049260,0.23179906210372700
FLHamilton County,0.00000000000000000,-0.04784648407275190,0.23909245300598000
FLHardee County,0.00000000000000000,-0.04584265483486230,0.23426066107360400
FLHendry County,0.00000000000000000,-0.04437682467108210,0.22599246927415800
FLHernando County,0.00000000000000000,-0.04514996522515520,0.22920905490595600
FLHighlands County,0.00000000000000000,-0.04638652692144330,0.23409496138898100
FLHillsborough County,0.00000000000000000,-0.04156269296583090,0.21560289318578600
FLHolmes County,0.00000000000000000,-0.04768978178366930,0.23791859580140900
FLIndian River County,0.00000000000000000,-0.04437602627121340,0.22312450772805700
FLJackson County,0.00000000000000000,-0.04832464172486480,0.23904514343210200
FLJefferson County,0.00000000000000000,-0.04742246215936190,0.23595913028837600
FLLafayette County,0.00000000000000000,-0.04790706074943550,0.23756295704459100
FLLake County,0.00000000000000000,-0.04410270126577460,0.22608718195436200
FLLee County,0.00000000000000000,-0.04385054321227620,0.22427124400740500
FLLeon County,0.00000000000000000,-0.04697485744365770,0.23427819014319200
FLLevy County,0.00000000000000000,-0.04592342844328000,0.23186978271753100
FLLiberty County,0.00000000000000000,-0.04819128627403680,0.23890722943033700
FLMadison County,0.00000000000000000,-0.04817777829201360,0.23997382405737200
FLManatee County,0.00000000000000000,-0.04366257136194070,0.22344435662753400
FLMarion County,0.00000000000000000,-0.04560747383181780,0.22983344535443800
FLMartin County,0.00000000000000000,-0.04291953749199730,0.21656677083727000
FLMiami-Dade County,0.00000000000000000,-0.04048470628863480,0.20999420167877900
FLMonroe County,0.00000000000000000,-0.04472442673182400,0.22339454896620900
FLNassau County,0.00000000000000000,-0.04626997612386940,0.23345583666854800
FLOkaloosa County,0.00000000000000000,-0.04607271877580210,0.23038147143700200
FLOkeechobee County,0.00000000000000000,-0.04561927982482980,0.23148544136029600
FLOrange County,0.00000000000000000,-0.04174980173291000,0.21711339909976200
FLOsceola County,0.00000000000000000,-0.04385635719646070,0.22534918134257300
FLPalm Beach County,0.00000000000000000,-0.04203145772695770,0.21644688568387200
FLPasco County,0.00000000000000000,-0.04330005816611830,0.22066868079345700
FLPinellas County,0.00000000000000000,-0.04339334460169320,0.22367065798869300
FLPolk County,0.00000000000000000,-0.04468302843956660,0.22900926509876000
FLPutnam County,0.00000000000000000,-0.04529027334454010,0.22844601283415000
FLSanta Rosa County,0.00000000000000000,-0.04440670466887110,0.22124371516164500
FLSarasota County,0.00000000000000000,-0.04392223355493330,0.22415228907299700
FLSeminole County,0.00000000000000000,-0.04316780400025670,0.22272175405375200
FLSt. Johns County,0.00000000000000000,-0.04373211982455450,0.22016849536704800
FLSt. Lucie County,0.00000000000000000,-0.04396715781635830,0.22216549106836200
FLSumter County,0.00000000000000000,-0.04477877789567930,0.22692906842774200
FLSuwannee County,0.00000000000000000,-0.04745088864330860,0.23660113614419600
FLTaylor County,0.00000000000000000,-0.04821986336386490,0.23808833657443900
FLUnion County,0.00000000000000000,-0.04616745101087540,0.23392194384609600
FLVolusia County,0.00000000000000000,-0.04378249476655680,0.22162926670286800
FLWakulla County,0.00000000000000000,-0.04732995886034490,0.23450276769013100
FLWalton County,0.00000000000000000,-0.04645738757040210,0.23180224484690100
FLWashington County,0.00000000000000000,-0.04739554261829890,0.23667238670748400
GAAppling County,0.00000000000000000,-0.04918159559305630,0.24638097133068000
