country,risk_name,historic_updated_value,historic_updated_date
AF,CivilWar,4.5,2021-08-24
AF,CivilWar,5,2021-08-16
AF,CivilWar,5.1,2020-07-13
AF,CivilWar,5,2020-03-23
AF,CivilWar,5.2,2020-03-02
AF,CivilWar,5.3,2019-09-17
AF,CivilWar,5.5,2019-07-08
AF,CivilWar,5.5,2018-09-17
AF,CivilWar,5.6,2018-07-02
AF,CivilWar,5.7,2018-03-12
AF,CivilWar,5.6,2018-01-15
AF,CivilWar,5.7,2017-12-11
AF,CivilWar,5.6,2017-12-04
AF,CivilWar,5.5,2017-10-02
AF,CivilWar,5.4,2017-01-30
AF,CivilWar,5.5,2016-06-14
AF,CivilWar,5.4,2015-11-09
AF,CivilWar,5.3,2015-10-12
AF,CivilWar,5.2,2015-09-15
AF,ContractAlteration,4.5,2024-10-08
AF,ContractAlteration,4.8,2023-01-20
AF,ContractAlteration,4.7,2022-09-13
AF,ContractAlteration,4.7,2021-08-24
AF,ContractAlteration,4.9,2020-05-04
AF,ContractAlteration,4.8,2020-02-24
AF,ContractAlteration,4.9,2019-01-14
AF,ContractAlteration,5,2017-10-16
AF,ContractAlteration,4.9,2016-10-10
AF,ContractAlteration,5,2016-05-23
AF,ContractAlteration,4.9,2016-03-21
AF,ContractEnforcement,5,2024-10-08
AF,ContractEnforcement,5.7,2023-01-20
AF,ContractEnforcement,5.6,2022-09-13
AF,ContractEnforcement,5.5,2021-08-24
AF,ContractEnforcement,5.4,2020-05-04
AF,ContractEnforcement,5.3,2020-02-24
AF,ContractEnforcement,5.4,2019-01-14
AF,ContractEnforcement,5.3,2017-12-18
AF,ContractEnforcement,5.2,2016-09-19
AF,CurrencyDepreciation,7.6,2024-02-08
AF,CurrencyDepreciation,7.1,2023-08-02
AF,CurrencyDepreciation,7.8,2022-11-03
AF,CurrencyDepreciation,9,2022-08-04
AF,CurrencyDepreciation,9.7,2022-05-06
AF,CurrencyDepreciation,8.6,2022-02-02
AF,CurrencyDepreciation,8.9,2021-11-05
AF,CurrencyDepreciation,6.2,2021-08-04
AF,CurrencyDepreciation,5.7,2021-05-06
AF,CurrencyDepreciation,5.9,2021-02-03
AF,CurrencyDepreciation,5.6,2020-11-05
AF,CurrencyDepreciation,5.2,2020-08-06
AF,CurrencyDepreciation,5.9,2019-08-13
AF,CurrencyDepreciation,6.1,2019-05-15
AF,CurrencyDepreciation,6.3,2019-02-13
AF,CurrencyDepreciation,6.5,2018-11-14
AF,CurrencyDepreciation,6.1,2018-08-15
AF,CurrencyDepreciation,6,2018-05-17
AF,CurrencyDepreciation,5.8,2018-02-14
AF,CurrencyDepreciation,5.5,2017-11-17
AF,CurrencyDepreciation,6.5,2017-08-16
AF,CurrencyDepreciation,7.5,2017-02-17
AF,CurrencyDepreciation,7.3,2016-11-10
AF,CurrencyDepreciation,7.1,2016-08-09
AF,CurrencyDepreciation,6.6,2016-05-10
AF,CurrencyDepreciation,6.4,2016-02-09
AF,CurrencyDepreciation,6.1,2015-11-10
AF,CurrencyDepreciation,5.3,2015-08-11
AF,CurrencyDepreciation,4.9,2015-02-09
AF,Economic,6.7,2023-11-06
AF,Economic,6.5,2023-08-02
AF,Economic,7.2,2023-05-04
AF,Economic,7.8,2022-11-03
AF,Economic,8.3,2022-08-04
AF,Economic,8.6,2022-07-20
AF,Economic,8.3,2022-05-06
AF,Economic,7.8,2022-02-02
AF,Economic,7.5,2021-11-08
AF,Economic,7.1,2021-11-05
AF,Economic,4.8,2021-08-04
AF,Economic,4.4,2021-05-06
AF,Economic,4.6,2021-02-03
AF,Economic,4.1,2020-11-05
AF,Economic,3.9,2020-08-06
AF,Economic,4.2,2020-05-05
AF,Economic,4.3,2020-04-23
AF,Economic,3.9,2020-03-17
AF,Economic,4.1,2020-02-25
