Index,OccupancyGroup,BUILDING,CONTENTS
MONTANAINSTITUTIONAL - HIGH,8.0,0.00000,0.14400
MONTANAINSTITUTIONAL - LOW,0.0,0.00000,0.09800
MONTANAMERCANTILE - HIGH,4.0,0.00000,0.31600
MONTANAMERCANTILE - LOW,6.0,0.00000,0.19800
MONTANAMERCANTILE - MEDIUM,5.0,0.00000,0.25800
MONTANAMOTELS AND HOTELS,7.0,0.00000,0.15000
MONTANAOFFICES,3.0,0.00000,0.21800
MONTANARES APTS AND CONDOS,2.0,0.00000,0.50800
MONTANASERVICE - HIGH,12.0,0.00000,0.23600
MONTANASERVICE - LOW,13.0,0.00000,0.18000
NEBRASKABUILDINGS,1.0,0.05500,0.00000
NEBRASKACONTRACTORS,14.0,0.00000,0.21900
NEBRASKAINDUST-PROC - HIGH,10.0,0.00000,0.16000
NEBRASKAINDUST-PROC - LOW,11.0,0.00000,0.12900
NEBRASKAINSTITUTIONAL - HIGH,8.0,0.00000,0.10100
NEBRASKAINSTITUTIONAL - LOW,0.0,0.00000,0.06500
NEBRASKAMERCANTILE - HIGH,4.0,0.00000,0.18800
NEBRASKAMERCANTILE - LOW,6.0,0.00000,0.13000
NEBRASKAMERCANTILE - MEDIUM,5.0,0.00000,0.17100
NEBRASKAMOTELS AND HOTELS,7.0,0.00000,0.10400
NEBRASKAOFFICES,3.0,0.00000,0.12500
NEBRASKARES APTS AND CONDOS,2.0,0.00000,0.20900
NEBRASKASERVICE - HIGH,12.0,0.00000,0.13900
NEBRASKASERVICE - LOW,13.0,0.00000,0.10800
NEVADABUILDINGS,1.0,0.02900,0.00000
NEVADACONTRACTORS,14.0,0.00000,0.27000
NEVADAINDUST-PROC - HIGH,10.0,0.00000,0.28800
NEVADAINDUST-PROC - LOW,11.0,0.00000,0.21100
NEVADAINSTITUTIONAL - HIGH,8.0,0.00000,0.13200
NEVADAINSTITUTIONAL - LOW,0.0,0.00000,0.08200
NEVADAMERCANTILE - HIGH,4.0,0.00000,0.26200
NEVADAMERCANTILE - LOW,6.0,0.00000,0.17100
NEVADAMERCANTILE - MEDIUM,5.0,0.00000,0.21600
NEVADAMOTELS AND HOTELS,7.0,0.00000,0.12600
NEVADAOFFICES,3.0,0.00000,0.23200
NEVADARES APTS AND CONDOS,2.0,0.00000,0.20800
NEVADASERVICE - HIGH,12.0,0.00000,0.21200
NEVADASERVICE - LOW,13.0,0.00000,0.17700
NEW HAMPSHIREBUILDINGS,1.0,0.12000,0.00000
NEW HAMPSHIRECONTRACTORS,14.0,0.00000,0.37400
NEW HAMPSHIREINDUST-PROC - HIGH,10.0,0.00000,0.25000
NEW HAMPSHIREINDUST-PROC - LOW,11.0,0.00000,0.20200
NEW HAMPSHIREINSTITUTIONAL - HIGH,8.0,0.00000,0.16600
NEW HAMPSHIREINSTITUTIONAL - LOW,0.0,0.00000,0.10400
NEW HAMPSHIREMERCANTILE - HIGH,4.0,0.00000,0.30800
NEW HAMPSHIREMERCANTILE - LOW,6.0,0.00000,0.19000
NEW HAMPSHIREMERCANTILE - MEDIUM,5.0,0.00000,0.27600
NEW HAMPSHIREMOTELS AND HOTELS,7.0,0.00000,0.15200
NEW HAMPSHIREOFFICES,3.0,0.00000,0.30200
NEW HAMPSHIRERES APTS AND CONDOS,2.0,0.00000,0.39600
NEW HAMPSHIRESERVICE - HIGH,12.0,0.00000,0.23800
