StateCounty,FL,WF,TN,HA
ARWoodruff County,1.94285714285714,2.00000000000000,1.00000000000000,1.00000000000000
ARYell County,4.20555555555555,16.37500000000000,1.00000000000000,1.00000000000000
AZApache County,2.26444444444444,3.39166666666667,1.00000000000000,1.00000000000000
AZCochise County,2.56666666666667,8.63392857142857,1.00000000000000,1.00000000000000
AZCoconino County,3.26923076923077,7.52884615384616,1.00000000000000,1.00000000000000
AZGila County,1.63333333333333,9.41071428571428,1.00000000000000,1.00000000000000
AZGraham County,2.04666666666667,9.30000000000000,1.00000000000000,1.00000000000000
AZGreenlee County,0.70000000000000,5.25000000000000,1.00000000000000,1.00000000000000
AZLa Paz County,5.92592592592593,3.94444444444444,1.00000000000000,1.00000000000000
AZMaricopa County,2.82590837282781,9.77014218009481,1.00000000000000,1.00000000000000
AZMohave County,2.77849462365591,4.29838709677420,1.00000000000000,1.00000000000000
AZNavajo County,2.66888888888889,6.87500000000000,1.00000000000000,1.00000000000000
AZPima County,2.31911111111111,8.37333333333334,1.00000000000000,1.00000000000000
AZPinal County,3.68427672955975,6.40566037735850,1.00000000000000,1.00000000000000
AZSanta Cruz County,7.22222222222222,17.41666666666670,1.00000000000000,1.00000000000000
AZYavapai County,1.60571428571428,8.65714285714285,1.00000000000000,1.00000000000000
AZYuma County,2.71666666666667,11.37500000000000,1.00000000000000,1.00000000000000
CAAlameda County,3.53955555555555,1.44000000000000,1.00000000000000,1.00000000000000
CAAlpine County,0.80000000000000,13.25000000000000,1.00000000000000,1.00000000000000
CAAmador County,4.10476190476191,2.01785714285714,1.00000000000000,1.00000000000000
CAButte County,1.75833333333333,18.25000000000000,1.00000000000000,1.00000000000000
CACalaveras County,1.79047619047619,10.38095238095240,1.00000000000000,1.00000000000000
CAColusa County,6.15000000000000,21.21875000000000,1.00000000000000,1.00000000000000
CAContra Costa County,3.49642857142857,3.35267857142857,1.00000000000000,1.00000000000000
CADel Norte County,4.49523809523810,7.21428571428572,1.00000000000000,1.00000000000000
CAEl Dorado County,1.99019607843137,4.43382352941177,1.00000000000000,1.00000000000000
CAFresno County,4.02222222222223,3.08101851851852,1.00000000000000,1.00000000000000
CAGlenn County,4.74166666666667,18.28125000000000,1.00000000000000,1.00000000000000
CAHumboldt County,2.40465116279070,3.18023255813954,1.00000000000000,1.00000000000000
CAImperial County,3.88235294117647,8.00000000000000,1.00000000000000,1.00000000000000
CAInyo County,4.17222222222222,5.25000000000000,1.00000000000000,1.00000000000000
CAKern County,2.46578947368421,9.75657894736843,1.00000000000000,1.00000000000000
CAKings County,2.86666666666667,5.17500000000000,1.00000000000000,1.00000000000000
CALake County,3.67083333333333,12.31250000000000,1.00000000000000,1.00000000000000
CALassen County,5.34074074074074,9.80555555555556,1.00000000000000,1.00000000000000
CALos Angeles County,3.09897156684812,11.17831215970950,1.00000000000000,1.00000000000000
CAMadera County,2.82857142857143,4.05357142857143,1.00000000000000,1.00000000000000
CAMarin County,7.74920634920634,1.11904761904762,1.00000000000000,1.00000000000000
CAMariposa County,3.83333333333333,15.12500000000000,1.00000000000000,1.00000000000000
CAMendocino County,4.02888888888889,3.56666666666666,1.00000000000000,1.00000000000000
CAMerced County,3.23188405797101,7.57608695652174,1.00000000000000,1.00000000000000
CAModoc County,3.86060606060606,2.81818181818182,1.00000000000000,1.00000000000000
CAMono County,7.55238095238095,7.75000000000000,1.00000000000000,1.00000000000000
CAMonterey County,2.75740740740741,8.52777777777778,1.00000000000000,1.00000000000000
CANapa County,4.23888888888889,7.29166666666667,1.00000000000000,1.00000000000000
CANevada County,6.30000000000000,5.94642857142857,1.00000000000000,1.00000000000000
CAOrange County,3.68524590163935,10.19672131147540,1.00000000000000,1.00000000000000
CAPlacer County,1.52043010752688,7.04032258064516,1.00000000000000,1.00000000000000
CAPlumas County,3.01269841269841,10.91666666666670,1.00000000000000,1.00000000000000
CARiverside County,3.56822429906542,14.15654205607470,1.00000000000000,1.00000000000000
CASacramento County,3.15652173913044,5.87681159420290,1.00000000000000,1.00000000000000
CASan Benito County,4.82222222222222,8.70833333333334,1.00000000000000,1.00000000000000
CASan Bernardino County,3.91216931216933,14.83928571428580,1.00000000000000,1.00000000000000
