"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_type_age_dwt_table/vessel_analysis_dwt_range","vessel_analysis_dwt_range","str","output","n/a","DWT","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_type_age_dwt_table","vessel_analysis_vessel_type_age_dwt_table","structure","n/a","n/a","n/a","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_pre_type_list/vessel_analysis_pre_type","vessel_analysis_pre_type","float","output","n/a","Not set","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_pre_type_list/constant_pre_y","constant_pre_y","float","output","n/a","Not set","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_pre_type_list","vessel_analysis_vessel_pre_type_list","list","n/a","n/a","n/a","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_post_type_list/vessel_analysis_post_type","vessel_analysis_post_type","float","output","n/a","Not set","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_post_type_list/constant_post_y","constant_post_y","float","output","n/a","Not set","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_post_type_list","vessel_analysis_vessel_post_type_list","list","n/a","n/a","n/a","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessels_type_higher_rate","vessel_analysis_vessels_type_higher_rate","float","output","n/a","Similar Vessels % Achieving Higher Rate (2018-20)","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessels_type_lower_rate","vessel_analysis_vessels_type_lower_rate","float","output","n/a","Similar Vessels % Achieving Lower Rate (2018-20)","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessels_type_count","vessel_analysis_vessels_type_count","int","output","n/a","Number of Vessels Contributing to Distribution","n/a"
"cds/vessel_analysis/hull_rating/vessel_analysis_vessel_pre_type_age_list/vessel_analysis_pre_type_age","vessel_analysis_pre_type_age","float","output","n/a","Not set","n/a"
