"Path","Name","Type","Mode","Optionality","Label","Default Value"
"cds/options/benchmark_premium","benchmark_premium","float","output","n/a","Benchmark Premium","n/a"
"cds/options/quoted_premium","quoted_premium","float","input","optional","Quoted Premium","None"
"cds/options/quoted_bpi","quoted_bpi","str","output","n/a","Quoted BPI %","n/a"
"cds/options","options","list","n/a","n/a","n/a","n/a"
"cds/option_selected","option_selected","str","input","optional","Bound Option","Option 1"
"cds/individual_tv/model_premium_pre_min","model_premium_pre_min","float","output","n/a","Model Premium Before Minimum","n/a"
"cds/individual_tv/min_premium","min_premium","float","output","n/a","Minimum Premium","n/a"
"cds/individual_tv/commission_adj_factor","commission_adj_factor","float","output","n/a","Commission Adjustment Factor","n/a"
"cds/individual_tv/gross_premium","gross_premium","float","output","n/a","Final Gross Model Premium","n/a"
"cds/individual_tv/net_premium","net_premium","float","output","n/a","Final Net Model Premium","n/a"
"cds/individual_tv/override_gross_premium","override_gross_premium","float","input","optional","Override Gross Premium (excl. Tax)","None"
"cds/individual_tv/gross_term_premium","gross_term_premium","float","output","n/a","Final Gross Term Premium (excl. Tax)","n/a"
"cds/individual_tv/net_term_premium","net_term_premium","float","output","n/a","Final Net Premium (excl. Tax)","n/a"
"cds/individual_tv/tax_rate","tax_rate","float","input","optional","Tax Rate","None"
"cds/individual_tv/default_tax_rate","default_tax_rate","float","output","n/a","Default Tax Rate","n/a"
"cds/individual_tv/gross_premium_post_tax","gross_premium_post_tax","float","output","n/a","Gross Premium With Tax","n/a"
"cds/individual_tv","individual_tv","structure","n/a","n/a","n/a","n/a"
"cds/annual_tv/model_premium_pre_min","model_premium_pre_min","float","output","n/a","Model Premium Before Minimum","n/a"
"cds/annual_tv/min_premium","min_premium","float","output","n/a","Minimum Premium","n/a"
"cds/annual_tv/model_premium_post_min","model_premium_post_min","float","output","n/a","Model Premium After Minimum","n/a"
"cds/annual_tv/commission","commission","float","output","n/a","Standard Commission","n/a"
"cds/annual_tv/commission_adj_factor","commission_adj_factor","float","output","n/a","Commission Adjustment Factor","n/a"
"cds/annual_tv/gross_premium","gross_premium","float","output","n/a","Final Gross Model Premium","n/a"
"cds/annual_tv/net_premium","net_premium","float","output","n/a","Final Net Model Premium","n/a"
"cds/annual_tv/override_gross_premium","override_gross_premium","float","input","optional","Override Gross Premium (excl. Tax)","None"
"cds/annual_tv/gross_term_premium","gross_term_premium","float","output","n/a","Final Gross Term Premium (excl. Tax)","n/a"
"cds/annual_tv/net_term_premium","net_term_premium","float","output","n/a","Final Net Premium (excl. Tax)","n/a"
"cds/annual_tv/tax_rate","tax_rate","float","input","optional","Tax Rate","None"
"cds/annual_tv/default_tax_rate","default_tax_rate","float","output","n/a","Default Tax Rate","n/a"
"cds/annual_tv/gross_premium_post_tax","gross_premium_post_tax","float","output","n/a","Gross Premium With Tax","n/a"
"cds/annual_tv","annual_tv","structure","n/a","n/a","n/a","n/a"
"cds/individual_film/model_premium_pre_min","model_premium_pre_min","float","output","n/a","Model Premium Before Minimum","n/a"
"cds/individual_film/min_premium","min_premium","float","output","n/a","Minimum Premium","n/a"
"cds/individual_film/commission","commission","float","output","n/a","Standard Commission","n/a"
"cds/individual_film/commission_adj_factor","commission_adj_factor","float","output","n/a","Commission Adjustment Factor","n/a"
"cds/individual_film/gross_premium","gross_premium","float","output","n/a","Final Gross Model Premium","n/a"
"cds/individual_film/net_premium","net_premium","float","output","n/a","Final Net Model Premium","n/a"
"cds/individual_film/override_gross_premium","override_gross_premium","float","input","optional","Override Gross Premium (excl. Tax)","None"
"cds/individual_film/gross_term_premium","gross_term_premium","float","output","n/a","Final Gross Term Premium (excl. Tax)","n/a"
"cds/individual_film/net_term_premium","net_term_premium","float","output","n/a","Final Net Premium (excl. Tax)","n/a"
"cds/individual_film/tax_rate","tax_rate","float","input","optional","Tax Rate","None"
"cds/individual_film/default_tax_rate","default_tax_rate","float","output","n/a","Default Tax Rate","n/a"
"cds/individual_film/gross_premium_post_tax","gross_premium_post_tax","float","output","n/a","Gross Premium With Tax","n/a"
"cds/individual_film","individual_film","structure","n/a","n/a","n/a","n/a"
"cds/pricing/brokerage","brokerage","float","input","optional","Brokerage","None"
"cds/pricing/bound_premium","bound_premium","float","input","optional","Bound Premium","None"
"cds/pricing/benchmark_premium","benchmark_premium","float","output","n/a","Gross Benchmark Premium","n/a"
"cds/pricing/bpi","bpi","float","output","n/a","BPI","n/a"
"cds/pricing/technical_premium","technical_premium","float","output","n/a","Gross Technical Premium","n/a"
"cds/pricing/tpi","tpi","float","output","n/a","TPI","n/a"
"cds/pricing","pricing","structure","n/a","n/a","n/a","n/a"
"cds","cds","structure","n/a","n/a","n/a","n/a"
"model_state/pressed_start_renewal_task","pressed_start_renewal_task","bool","output","n/a","Not set","n/a"
"model_state/show_landing_page","show_landing_page","bool","output","n/a","Not set","n/a"
"model_state/show_after_landing_page","show_after_landing_page","bool","output","n/a","Not set","n/a"
"model_state/show_rate_change","show_rate_change","bool","output","n/a","Not set","n/a"
"model_state/landing_page_info","landing_page_info","str","input","required","Not set","Click the 'import expiring policy data' arrow in the top right corner then click **Start Policy**. "
"model_state/expiring_policy_option_id","expiring_policy_option_id","int","input","optional","Not set","None"
"model_state","model_state","structure","n/a","n/a","n/a","n/a"
"bug_report_email","bug_report_email","str","output","n/a","Not set","n/a"
"policy_doc/data_dict","data_dict","str","output","n/a","Not set","n/a"
"policy_doc/output_file","output_file","file","output","n/a","Not set","n/a"
"policy_doc/task_data_dict","task_data_dict","str","output","n/a","Not set","n/a"
"policy_doc/show_generate_button","show_generate_button","bool","output","n/a","Not set","n/a"
"policy_doc/show_download","show_download","bool","output","n/a","Not set","n/a"
"policy_doc/premium_check","premium_check","str","output","n/a","Not set","n/a"
"policy_doc/show_premium_check","show_premium_check","bool","output","n/a","Not set","n/a"
"policy_doc","policy_doc","structure","n/a","n/a","n/a","n/a"
