"Path","Name","Type","Mode","Label","Default Value"
"cds/risk_info/rms_data_asat","rms_data_asat","date","input","RMS Data As At","None"
"cds/risk_info/broker_contact","broker_contact","str","input","Broker Contact","None"
"cds/risk_info/final_data_asat","final_data_asat","date","output","Final Data As At","n/a"
"cds/risk_info/bic_data_asat","bic_data_asat","date","input","BIC Data As At","None"
"cds/risk_info","risk_info","structure","n/a","n/a","n/a"
"cds/rms/edm_reference_requested","edm_reference_requested","str","output","EDM Reference Requested","n/a"
"cds/rms/use_override","use_override","bool","input","Override EDM Output","False"
"cds/rms/rms_uplift_ws","rms_uplift_ws","float","output","RMS Uplift WindStorm","n/a"
"cds/rms/rms_uplift_eq","rms_uplift_eq","float","output","RMS Uplift Earthquake","n/a"
"cds/rms/edm_reference_lookup/portnum","portnum","str","input","PortNum","None"
"cds/rms/edm_reference_lookup","edm_reference_lookup","list","n/a","n/a","n/a"
"cds/rms/fetch_edm_data_reference_lookup_task_status","fetch_edm_data_reference_lookup_task_status","str","output","EDM Data Lookup Status","n/a"
"cds/rms/fetch_edm_data_task_status","fetch_edm_data_task_status","str","output","EDM Data Status","n/a"
"cds/rms/edm_reference_selected","edm_reference_selected","str","input","EDM Reference Selected","None"
"cds/rms/edm/return_period","return_period","str","input","Return Period","None"
"cds/rms/edm/probability","probability","str","input","Probability","None"
"cds/rms/edm/portnum","portnum","str","input","PortNum","None"
"cds/rms/edm/ws_loss_amount","ws_loss_amount","float","input","WS 100% contract AEP","None"
"cds/rms/edm/ws_premium","ws_premium","float","input","WS Premium","None"
"cds/rms/edm/ws_currency","ws_currency","str","input","WS Currency","None"
"cds/rms/edm/ws_fxrate","ws_fxrate","float","input","WS FX Rate","None"
"cds/rms/edm/eq_loss_amount","eq_loss_amount","float","input","EQ 100% contract AEP","None"
"cds/rms/edm/eq_premium","eq_premium","float","input","EQ Premium","None"
"cds/rms/edm/eq_currency","eq_currency","str","input","EQ Currency","None"
"cds/rms/edm/eq_fxrate","eq_fxrate","float","input","EQ FX Rate","None"
"cds/rms/edm","edm","list","n/a","n/a","n/a"
"cds/rms/edm_summary/ws_loss_amount/fx","fx","str","output","Currency","n/a"
"cds/rms/edm_summary/ws_loss_amount/fxrate","fxrate","float","output","Currency Conversion Rate","n/a"
"cds/rms/edm_summary/ws_loss_amount/aal","aal","float","output","AAL ","n/a"
"cds/rms/edm_summary/ws_loss_amount/std_dev","std_dev","float","output","Standard Deviation","n/a"
"cds/rms/edm_summary/ws_loss_amount/prem","prem","float","output","Associated Premium","n/a"
