Version,Benchmark Class,qtr,value
18,War,15,1
18,War,16,1
18,War,17,1
18,War,18,1
18,War,19,1
18,War,20,1
18,War,21,1
18,War,22,1
18,War,23,1
18,War,24,1
18,War,25,1
18,War,26,1
18,War,27,1
18,War,28,1
18,War,29,1
18,War,30,1
18,War,31,1
18,War,32,1
18,War,33,1
18,War,34,1
18,War,35,1
18,War,36,1
18,War,37,1
18,War,38,1
18,War,39,1
18,War,40,1
18,War,41,1
18,War,42,1
18,War,43,1
18,War,44,1
18,War,45,1
18,War,46,1
18,War,47,1
18,War,48,1
18,War,49,1
18,War,50,1
18,War,51,1
18,War,52,1
18,War,53,1
18,War,54,1
18,War,55,1
18,War,56,1
18,War,57,1
18,War,58,1
18,War,59,1
18,War,60,1
18,War,61,1
18,War,62,1
18,War,63,1
18,War,64,1
18,War,65,1
18,War,66,1
18,War,67,1
18,War,68,1
18,War,69,1
18,War,70,1
18,War,71,1
18,War,72,1
18,War,73,1
18,War,74,1
18,War,75,1
18,War,76,1
18,War,77,1
18,War,78,1
18,War,79,1
18,War,80,1
18,Contingency,1,0.025716
18,Contingency,2,0.047291
18,Contingency,3,0.223086
18,Contingency,4,0.490633
18,Contingency,5,0.687041
18,Contingency,6,0.804467
18,Contingency,7,0.873061
18,Contingency,8,0.914412
18,Contingency,9,0.940438
18,Contingency,10,0.957517
18,Contingency,11,0.969153
18,Contingency,12,0.97734
18,Contingency,13,0.983265
18,Contingency,14,0.987658
18,Contingency,15,0.990983
18,Contingency,16,0.993548
18,Contingency,17,0.995559
18,Contingency,18,0.997157
18,Contingency,19,0.998445
18,Contingency,20,0.99913
18,Contingency,21,0.999519
18,Contingency,22,0.999737
18,Contingency,23,0.999858
18,Contingency,24,0.999924
18,Contingency,25,0.99996
18,Contingency,26,0.999979
18,Contingency,27,0.999989
18,Contingency,28,0.999995
18,Contingency,29,0.999997
18,Contingency,30,0.999999
18,Contingency,31,0.999999
18,Contingency,32,1
18,Contingency,33,1
18,Contingency,34,1
18,Contingency,35,1
18,Contingency,36,1
18,Contingency,37,1
18,Contingency,38,1
18,Contingency,39,1
18,Contingency,40,1
18,Contingency,41,1
18,Contingency,42,1
18,Contingency,43,1
18,Contingency,44,1
18,Contingency,45,1
18,Contingency,46,1
18,Contingency,47,1
18,Contingency,48,1
18,Contingency,49,1
18,Contingency,50,1
18,Contingency,51,1
18,Contingency,52,1
18,Contingency,53,1
18,Contingency,54,1
18,Contingency,55,1
18,Contingency,56,1
18,Contingency,57,1
18,Contingency,58,1
18,Contingency,59,1
18,Contingency,60,1
18,Contingency,61,1
18,Contingency,62,1
18,Contingency,63,1
18,Contingency,64,1
18,Contingency,65,1
18,Contingency,66,1
18,Contingency,67,1
18,Contingency,68,1
18,Contingency,69,1
18,Contingency,70,1
18,Contingency,71,1
18,Contingency,72,1
18,Contingency,73,1
18,Contingency,74,1
18,Contingency,75,1
18,Contingency,76,1
18,Contingency,77,1
18,Contingency,78,1
18,Contingency,79,1
18,Contingency,80,1
18,Political,1,0.000006
18,Political,2,0.000061
18,Political,3,0.00061
18,Political,4,0.006098
18,Political,5,0.030491
18,Political,6,0.152455
18,Political,7,0.232799
18,Political,8,0.318172
18,Political,9,0.401761
18,Political,10,0.479267
18,Political,11,0.548623
18,Political,12,0.609295
18,Political,13,0.661634
18,Political,14,0.706423
18,Political,15,0.744597
18,Political,16,0.777091
18,Political,17,0.804764
18,Political,18,0.828373
18,Political,19,0.848564
18,Political,20,0.865887
18,Political,21,0.880798
18,Political,22,0.893679
18,Political,23,0.904846
18,Political,24,0.914563
18,Political,25,0.923049
18,Political,26,0.930484
18,Political,27,0.937023
18,Political,28,0.942791
18,Political,29,0.947896
18,Political,30,0.952429
18,Political,31,0.956465
18,Political,32,0.960069
18,Political,33,0.963297
18,Political,34,0.966194
18,Political,35,0.968803
18,Political,36,0.971156
18,Political,37,0.973285
18,Political,38,0.975214
18,Political,39,0.976967
18,Political,40,0.978562
18,Political,41,0.980017
18,Political,42,0.981347
18,Political,43,0.982564
18,Political,44,0.983681
18,Political,45,0.984707
18,Political,46,0.985651
18,Political,47,0.986521
18,Political,48,0.987324
18,Political,49,0.988066
18,Political,50,0.988753
18,Political,51,0.98939
18,Political,52,0.989982
18,Political,53,0.990532
18,Political,54,0.991043
18,Political,55,0.99152
18,Political,56,0.991964
